p0,p1,post_mu2_gt_m1,H,pvalue1
0.692,0.308,0.944,0.617491064538849,0.274
0,1,0,0,2e-27
0,1,0,0,4.896e-12
0,1,1,0,1.882e-09
0,1,1,0,1.014e-11
0.132,0.868,0.989,0.390171016875552,0.00709
0,1,1,0,4.333e-10
0,1,0,0,4.815e-14
0,1,0,0,3.138e-32
0.372,0.628,0.959,0.660011540650498,0.0326
0,1,0,0,2.891e-07
0.391,0.609,0.97,0.669193297992532,0.0519
0.546,0.454,0.937,0.688909190314647,0.197
0.757,0.243,0.888,0.554513365398235,0.874
0.035,0.965,0.037,0.151714479037886,0.0015
0.761,0.239,0.822,0.549924504737763,0.488
0,1,0,0,2.721e-16
0.151,0.849,0.987,0.42443977444475,0.00814
0.498,0.502,0.558,0.693139180538612,0.113
0.668,0.332,0.902,0.635585969379383,0.493
0,1,0,0,1.386e-16
0,1,0,0,4.649e-15
0.103,0.897,0.107,0.331625084927744,0.00653
0,1,0,0,1.387e-52
0,1,0,0,7.1e-47
0,1,1,0,2.603e-33
0,1,0,0,3.893e-07
0,1,1,0,1.263e-31
0,1,0,0,2.058e-23
0,1,0,0,2.999e-35
0,1,0,0,5.149e-11
0.601,0.399,0.909,0.672604117987422,0.352
0,1,0,0,8.533e-08
0,1,0,0,7.915e-25
0.054,0.946,0.996,0.210128670144589,0.00309
0,1,1,0,4.951e-05
0.673,0.327,0.901,0.632033696247833,0.448
0.542,0.458,0.964,0.689615019877552,0.095
0.329,0.671,0.349,0.633468188072331,0.0602
0,1,1,0,3.666e-10
0,1,1,0,9.173e-17
0,1,0,0,7.143e-48
0,1,1,0,2.078e-20
0,1,0,0,4.111e-12
0,1,1,0,2.267e-21
0,1,1,0,2.379e-21
0.631,0.369,0.903,0.658421318067677,0.372
0,1,0,0,2.715e-08
0,1,0,0,8.039e-11
0.738,0.262,0.921,0.575138476441581,0.538
0,1,1,0,1.7e-15
0.759,0.241,0.893,0.552229868967606,0.794
0,1,0,0,2.488e-47
0.517,0.483,0.958,0.692569069147086,0.132
0,1,0,0,1.072e-41
0,1,0,0,6.52e-31
0,1,1,0,1.381e-06
0,1,0,0,3.081e-08
0,1,1,0,1.63e-07
0,1,1,0,2.077e-20
0.706,0.294,0.925,0.605694469714336,0.412
0,1,0,0,6.443e-13
0,1,0,0,5.101e-14
0,1,1,0,1.766e-05
0.017,0.983,1,0.0861218870285167,0.0005534
0,1,1,0,7.764e-09
0.216,0.784,0.983,0.521798470967638,0.0186
0,1,1,0,1.423e-05
0,1,1,0,2.438e-11
0,1,1,0,2.202e-24
0.493,0.507,0.554,0.693049177358361,0.143
0,1,0,0,9.728e-13
0,1,1,0,3.56e-10
0,1,1,0,8.681e-07
0.781,0.219,0.917,0.525639378127529,0.71
0,1,0,0,7.139e-14
0,1,0,0,1.678e-06
0.771,0.229,0.835,0.538065204150889,0.541
0.571,0.429,0.931,0.683031022048436,0.254
0,1,0,0,2.012e-43
0.592,0.408,0.633,0.676122343973908,0.181
0,1,1,0,5.386e-13
0,1,1,0,4.307e-46
0.179,0.821,0.197,0.469873746876198,0.00972
0.521,0.479,0.973,0.692264921068805,0.0889
0,1,1,0,1.638e-12
0.643,0.357,0.862,0.651672547202017,0.544
0,1,1,0,7.043e-14
0.701,0.299,0.954,0.610014621727074,0.268
0,1,0,0,5.391e-17
0.656,0.344,0.799,0.643653071298366,0.736
0.473,0.527,0.952,0.691688471144155,0.0949
0.774,0.226,0.872,0.534397738988152,0.853
0.743,0.257,0.904,0.56989556393877,0.735
0.698,0.302,0.811,0.612549386006791,0.528
0,1,1,0,1.509e-05
0.023,0.977,0.999,0.109495452969968,0.0003493
0,1,1,0,9.849e-12
0,1,1,0,4.207e-06
0,1,1,0,2.344e-26
0,1,1,0,1.213e-07
0,1,0,0,6.62e-61
0.741,0.259,0.894,0.572008347657556,0.771
0,1,1,0,1.185e-33
0,1,0,0,9.361e-07
0,1,1,0,1.876e-27
0.004,0.996,0.004,0.0260778329833977,0.0001107
0,1,0,0,3.373e-12
0.714,0.286,0.865,0.598531185977196,0.958
0,1,0,0,7.078e-10
0.226,0.774,0.233,0.534397738988152,0.0178
0.646,0.354,0.706,0.64988769228922,0.301
0.342,0.658,0.977,0.642353162094667,0.0365
0,1,1,0,0.0001075
0,1,1,0,1.011e-10
0.27,0.73,0.973,0.583258840128597,0.0242
0.326,0.674,0.363,0.631309637901695,0.0491
0,1,1,0,1.1e-08
0,1,0,0,8.81e-07
0,1,1,0,6.074e-17
0,1,0,0,2.881e-26
0.166,0.834,0.177,0.449486648547756,0.0129
0,1,1,0,1.676e-10
0.759,0.241,0.852,0.552229868967606,0.777
0,1,0,0,5.7e-06
0.351,0.649,0.366,0.648063481404664,0.0307
0,1,0,0,1.097e-23
0.462,0.538,0.98,0.690256393935334,0.0611
0.26,0.74,0.27,0.57305691713142,0.021
0,1,1,0,3.785e-08
0,1,0,0,1.663e-06
0,1,0,0,2.402e-23
0,1,0,0,5.153e-15
0.06,0.94,0.063,0.226967522500604,0.0006298
0,1,0,0,4.354e-05
0,1,0,0,2.391e-17
0.726,0.274,0.874,0.587196867069004,0.92
0.63,0.37,0.745,0.658955680683063,0.502
0.694,0.306,0.812,0.615862697192986,0.732
0.596,0.404,0.948,0.674600230714884,0.177
0.672,0.328,0.918,0.632753210600581,0.404
0,1,1,0,3.284e-39
0.704,0.296,0.783,0.607436917766953,0.438
0.749,0.251,0.933,0.563431092605662,0.533
0.058,0.942,0.995,0.221428615719511,0.0009937
0,1,1,0,1.48e-48
0.792,0.208,0.908,0.511294736087238,0.856
0,1,1,0,6.155e-05
0,1,1,0,6.004e-11
0,1,0,0,2.92e-05
0,1,0,0,9.678e-16
0.18,0.82,0.99,0.471393486810094,0.0082
0.002,0.998,0.002,0.0144272148621761,1.67e-05
0.437,0.563,0.48,0.685188042082719,0.077
0.547,0.453,0.585,0.688722651213499,0.0893
0.033,0.967,0.035,0.145020584350408,0.00197
0.02,0.98,0.02,0.098039113279732,0.0009769
0,1,0,0,1.921e-63
0,1,1,0,1.212e-06
0,1,1,0,2.519e-05
0,1,1,0,1.64e-13
0.692,0.308,0.812,0.617491064538849,0.722
0.002,0.998,1,0.0144272148621761,4.35e-06
0.026,0.974,0.998,0.120550159245749,0.0005408
0,1,1,0,1.941e-21
0,1,0,0,1.384e-17
0.001,0.999,0.001,0.00790725511223209,3.604e-05
0,1,0,0,9.246e-38
0.056,0.944,0.994,0.215816483459616,0.00177
0,1,1,0,5.531e-27
0,1,0,0,1.866e-19
0.777,0.223,0.895,0.530678821710868,0.935
0,1,0,0,1.293e-12
0.018,0.982,0.02,0.0901499225359206,0.000552
0.161,0.839,0.986,0.441324393493653,0.0151
0,1,1,0,5.178e-18
0.676,0.324,0.741,0.629847860460379,0.307
0.298,0.702,0.977,0.609160170377407,0.0288
0,1,1,0,4.671e-08
0,1,1,0,2.279e-05
0.714,0.286,0.907,0.598531185977196,0.577
0.681,0.319,0.907,0.626113386705954,0.515
0,1,1,0,1.294e-38
0.007,0.993,1,0.0417083585418935,0.0001474
0.006,0.994,0.999,0.0366779387501341,0.0002035
0.388,0.612,0.971,0.667845050310763,0.0592
0.755,0.245,0.854,0.556775116715665,0.677
0.18,0.82,0.193,0.471393486810094,0.0154
0.001,0.999,1,0.00790725511223209,4.708e-06
0,1,1,0,2.536e-43
0.303,0.697,0.327,0.613384807612713,0.0309
0.013,0.987,1,0.0693716084142908,8.003e-05
0.645,0.355,0.687,0.650487009385091,0.228
0.719,0.281,0.796,0.593895300697922,0.551
0,1,1,0,1.136e-32
0.641,0.359,0.923,0.652840659628696,0.327
0.555,0.445,0.962,0.687084920288889,0.128
0.695,0.305,0.799,0.615041454449346,0.748
0.447,0.553,0.954,0.687518612348021,0.0774
0,1,0,0,1.471e-13
0.025,0.975,1,0.116906849137531,0.00134
0.009,0.991,0.009,0.051354154265093,0.000199
0,1,0,0,1.423e-15
0,1,1,0,8.341e-19
0,1,1,0,3.683e-21
0,1,0,0,1.717e-05
0.679,0.321,0.743,0.627620932845047,0.313
0,1,1,0,4.306e-16
0,1,1,0,1.322e-13
0,1,1,0,5.458e-28
0,1,1,0,4.281e-35
0,1,1,0,5.275e-15
0,1,0,0,5.963e-05
0.027,0.973,1,0.124153971633037,7.103e-05
0,1,0,0,6.142e-06
0.235,0.765,0.985,0.54524767028096,0.0177
0,1,0,0,4.914e-10
0.491,0.509,0.536,0.692985171810811,0.0994
0.498,0.502,0.953,0.693139180538612,0.118
0,1,1,0,8.615e-15
0,1,0,0,5.053e-18
0.701,0.299,0.806,0.610014621727074,0.62
0,1,0,0,7.016e-42
0.42,0.58,0.981,0.680292000192154,0.059
0,1,0,0,2.333e-08
0,1,1,0,6.019e-07
0.666,0.334,0.945,0.63697526674802,0.271
0.738,0.262,0.815,0.575138476441581,0.519
0.476,0.524,0.966,0.691994737783755,0.106
0,1,1,0,3.445e-37
0,1,0,0,3.935e-21
0,1,1,0,1.31e-13
0.354,0.646,0.381,0.64988769228922,0.0403
0,1,0,0,1.165e-17
0.713,0.287,0.878,0.599443630303733,0.84
0,1,1,0,9.383e-39
0,1,1,0,1.317e-06
0,1,0,0,2.422e-12
0.329,0.671,0.365,0.633468188072331,0.0303
0,1,1,0,3.768e-09
0.422,0.578,0.96,0.680929340366306,0.0977
0.026,0.974,0.999,0.120550159245749,0.00141
0,1,1,0,2.794e-06
0,1,1,0,2.668e-12
0.604,0.396,0.908,0.671356435772735,0.319
0.724,0.276,0.893,0.589135671956945,0.836
0.004,0.996,1,0.0260778329833977,9.997e-06
0,1,0,0,4.744e-12
0,1,1,0,1.01e-16
0.715,0.285,0.892,0.597613844579356,0.658
0.179,0.821,0.986,0.469873746876198,0.0138
0,1,0,0,7.297e-26
0,1,0,0,3.467e-07
0,1,0,0,2.723e-05
0,1,0,0,1.961e-07
0,1,0,0,6.764e-35
0.663,0.337,0.836,0.639025512960164,0.953
0,1,0.998,0,0.0002644
0.05,0.95,0.05,0.198515243345873,0.00119
0,1,1,0,8.643e-57
0.016,0.984,0.999,0.0820339767268832,6.205e-05
0.168,0.832,0.987,0.452700739679144,0.018
0,1,1,0,4.265e-35
0,1,1,0,1.709e-28
0,1,1,0,5.394e-08
0,1,1,0,4.481e-08
0.506,0.494,0.572,0.693075178831846,0.137
0,1,1,0,4.744e-31
0,1,1,0,5.631e-06
0.141,0.859,0.148,0.40677463045434,0.00786
0,1,1,0,2.774e-08
0,1,0,0,1.738e-10
0,1,0,0,3.653e-48
0,1,1,0,1.408e-22
0,1,1,0,2.155e-07
0.688,0.312,0.764,0.620691563887438,0.39
0,1,1,0,1.016e-15
0,1,0,0,2.399e-20
0.772,0.228,0.917,0.536848402961397,0.616
0,1,1,0,7.496e-07
0,1,1,0,5.941e-06
0,1,1,0,8.136e-12
0.023,0.977,0.999,0.109495452969968,0.000623
0.611,0.389,0.695,0.668298672260717,0.359
0,1,0,0,8.759e-34
0,1,0,0,5e-20
0.003,0.997,0.003,0.0204229244641799,0.0002954
0,1,1,0,4.688e-11
0.227,0.773,0.983,0.535625920455781,0.0206
0,1,1,0,1.308e-07
0,1,0,0,7.507e-18
0,1,0,0,5.094e-71
0,1,0,0,5.735e-07
0,1,1,0,1.614e-31
0.013,0.987,0.014,0.0693716084142908,0.0001634
0.74,0.26,0.921,0.57305691713142,0.552
0,1,1,0,2.261e-07
0.01,0.99,0.01,0.0560015343548473,5.584e-05
0.102,0.898,0.991,0.329455330691766,0.0103
0,1,0,0,6.431e-14
0,1,0,0,2.247e-11
0,1,1,0,2.457e-25
0,1,1,0,3.6e-27
0,1,1,0,9.615e-17
0,1,1,0,3.478e-30
0,1,1,0,1.487e-43
0.756,0.244,0.857,0.555646951618869,0.758
0,1,0,0,2.237e-21
0,1,0,0,4.797e-11
0,1,1,0,5.208e-22
0,1,0,0,3.31e-23
0.587,0.413,0.94,0.677931853850138,0.208
0.245,0.755,0.984,0.556775116715665,0.0142
0,1,1,0,2.204e-17
0,1,1,0,2.235e-08
0,1,1,0,4.334e-23
0,1,0,0,1.11e-12
0,1,1,0,3.097e-05
0.033,0.967,0.036,0.145020584350408,0.0008323
0.473,0.527,0.977,0.691688471144155,0.0727
0,1,0,0,3.614e-05
0.153,0.847,0.164,0.427877788638804,0.0119
0,1,1,0,9.166e-06
0,1,0,0,5.965e-17
0,1,0,0,3.642e-43
0.008,0.992,1,0.0465944242221046,0.0001712
0.632,0.368,0.723,0.657882660635157,0.352
0,1,0,0,2.841e-12
0.017,0.983,1,0.0861218870285167,0.0005608
0.03,0.97,0.032,0.134742168179767,0.00186
0.596,0.404,0.926,0.674600230714884,0.246
0,1,1,0,2.795e-09
0,1,1,0,4.398e-10
0,1,1,0,6.975e-08
0.381,0.619,0.971,0.664551553267099,0.0483
0,1,0,0,3.664e-05
0.757,0.243,0.824,0.554513365398235,0.55
0,1,1,0,8.351e-11
0,1,0,0,1.002e-15
0.395,0.605,0.971,0.670932184737535,0.0555
0,1,0,0,1.19e-24
0.699,0.301,0.952,0.611709220471292,0.262
0,1,0,0,5.172e-31
0.066,0.934,0.07,0.243167072702654,0.00326
0.341,0.659,0.37,0.641696544991305,0.0403
0.755,0.245,0.832,0.556775116715665,0.497
0,1,0,0,4.231e-18
0,1,0,0,2.035e-57
0,1,0,0,7.679e-11
0.021,0.979,1,0.101905829752576,0.00104
0,1,0,0,4.623e-09
0,1,0,0,6.851e-17
0,1,1,0,1.187e-05
0,1,0,0,3.102e-15
0,1,1,0,6.317e-14
0.725,0.275,0.846,0.588168777354191,0.908
0.553,0.447,0.933,0.687518612348021,0.196
0,1,0,0,2.237e-07
0.001,0.999,1,0.00790725511223209,9.646e-05
0,1,0,0,3.932e-05
0,1,1,0,7.225e-09
0,1,1,0,3.002e-12
0,1,1,0,8.17e-05
0,1,1,0,2.294e-23
0.523,0.477,0.554,0.692088807122444,0.101
0,1,0,0,1.068e-17
0,1,1,0,1.191e-07
0.662,0.338,0.95,0.639699968278577,0.223
0.37,0.63,0.972,0.658955680683063,0.0438
0.341,0.659,0.976,0.641696544991305,0.0486
0.236,0.764,0.255,0.546425182072871,0.0219
0.73,0.27,0.908,0.583258840128597,0.577
0,1,0,0,3.376e-09
0,1,0,0,1.275e-15
0,1,0,0,2.924e-05
0.702,0.298,0.748,0.609160170377407,0.321
0.026,0.974,0.026,0.120550159245749,0.0001477
0,1,1,0,1.881e-15
0.737,0.263,0.824,0.576171491975844,0.611
0,1,0,0,1.231e-17
0.186,0.814,0.202,0.480370659745414,0.0175
0,1,1,0,1.504e-31
0,1,0,0,3.548e-49
0.46,0.54,0.5,0.6899437584584,0.0776
0,1,0,0,2.517e-10
0.61,0.39,0.93,0.668748086851809,0.259
0.402,0.598,0.429,0.673814268494813,0.047
0.52,0.48,0.575,0.692346967089961,0.158
0,1,1,0,1.809e-42
0,1,0,0,1.174e-06
0.194,0.806,0.203,0.491971299663509,0.0102
0.372,0.628,0.402,0.660011540650498,0.0428
0,1,1,0,3.965e-14
0,1,0,0,1.055e-44
0,1,0,0,9.143e-07
0,1,0,0,1.197e-09
0.271,0.729,0.297,0.584250927889426,0.0328
0,1,0,0,4.207e-26
0.691,0.309,0.939,0.618298206197274,0.295
0.402,0.598,0.977,0.673814268494813,0.055
0,1,1,0,2.593e-07
0.076,0.924,0.078,0.26888959092346,0.00285
0,1,1,0,5.984e-17
0,1,0,0,1.121e-19
0.102,0.898,0.99,0.329455330691766,0.00394
0,1,0,0,4.969e-06
0,1,1,0,6.097e-19
0,1,0,0,7.54e-10
0,1,0,0,1.751e-14
0,1,0,0,1.345e-10
0,1,0,0,4.71e-18
0,1,0,0,2.29e-31
0,1,0,0,7.019e-09
0.635,0.365,0.688,0.656240870627669,0.222
0.044,0.956,0.05,0.180454370212594,0.00228
0.001,0.999,1,0.00790725511223209,0.0004171
0,1,0,0,8.577e-33
0,1,0,0,5.833e-06
0,1,0,0,3.401e-16
0,1,1,0,1.241e-34
0,1,1,0,5.529e-08
0,1,1,0,2.337e-14
0,1,0,0,1.653e-06
0.436,0.564,0.971,0.684932663037053,0.0656
0,1,0,0,4.528e-19
0,1,1,0,5e-22
0.615,0.385,0.946,0.666458900580332,0.228
0,1,0,0,3.324e-05
0,1,1,0,1.26e-35
0.503,0.497,0.556,0.693129180451944,0.109
0.785,0.215,0.905,0.520506384475499,0.997
0.648,0.352,0.943,0.648675933935333,0.248
0,1,0,0,1.491e-13
0.64,0.36,0.958,0.653418194793702,0.189
0,1,0,0,7.968e-40
0,1,0,0,1.768e-19
0,1,0,0,2.459e-13
0,1,0,0,1.148e-05
0.398,0.602,0.969,0.672192398803021,0.0543
0.63,0.37,0.69,0.658955680683063,0.246
0,1,1,0,3.968e-09
0.654,0.346,0.941,0.644935254959156,0.278
0.655,0.345,0.878,0.644296375765228,0.578
0,1,0,0,1.176e-49
0.515,0.485,0.562,0.692697113035634,0.0884
0,1,1,0,3.634e-07
0,1,0,0,4.333e-36
0,1,1,0,9.288e-08
0,1,1,0,2.624e-16
0,1,1,0,2.633e-20
0,1,1,0,3.081e-13
0,1,0,0,8.929e-05
0,1,0,0,1.325e-30
0,1,1,0,1.973e-25
0,1,0,0,1.85e-05
0.035,0.965,0.999,0.151714479037886,0.00297
0.087,0.913,0.091,0.295541413675982,0.00519
0.554,0.446,0.606,0.687303789923193,0.176
0,1,0.001,0,3.257e-05
0,1,1,0,3.634e-28
0.718,0.282,0.923,0.594832334400964,0.515
0,1,1,0,3.691e-14
0.653,0.347,0.896,0.645569714923067,0.504
0.001,0.999,0.001,0.00790725511223209,9.342e-05
0,1,1,0,6.205e-19
0.498,0.502,0.534,0.693139180538612,0.11
0,1,0,0,5.226e-05
0,1,1,0,6.892e-17
0,1,1,0,3.003e-12
0,1,0,0,4.087e-43
0.156,0.844,0.984,0.432977036412222,0.0205
0,1,1,0,3.917e-08
0,1,1,0,6.341e-35
0,1,0,0,2.783e-14
0.677,0.323,0.874,0.629110126819609,0.661
0,1,1,0,2.785e-11
0.006,0.994,1,0.0366779387501341,1.477e-05
0.598,0.402,0.922,0.673814268494813,0.308
0.3,0.7,0.976,0.610864302054894,0.0338
0,1,1,0,1.401e-16
0.653,0.347,0.779,0.645569714923067,0.68
0,1,0,0,8.361e-07
0.003,0.997,0.003,0.0204229244641799,0.0001277
0,1,1,0,3.631e-06
0.744,0.256,0.868,0.568831323279549,0.925
0,1,1,0,2.062e-09
0,1,1,0,5.575e-07
0,1,0,0,2.022e-10
0.435,0.565,0.48,0.68467321736082,0.0979
0,1,1,0,3.29e-09
0.695,0.305,0.904,0.615041454449346,0.577
0,1,1,0,6.489e-42
0.228,0.772,0.24,0.536848402961397,0.0179
0,1,1,0,1.532e-14
0.711,0.289,0.878,0.60125386852754,0.696
0.604,0.396,0.73,0.671356435772735,0.53
0,1,1,0,1.609e-33
0,1,0,0,8.334e-07
0,1,0,0,1.897e-12
0,1,0,0,1.196e-14
0.154,0.846,0.165,0.429585199983573,0.014
0,1,0,0,1.767e-24
0,1,0,0,1.163e-11
0,1,0,0,4.989e-22
0,1,0,0,6.516e-06
0.736,0.264,0.934,0.577199348367057,0.426
0.003,0.997,1,0.0204229244641799,5.079e-06
0.079,0.921,0.082,0.276320205246105,0.00469
0.778,0.222,0.862,0.529427664395702,0.785
0,1,0,0,2.84e-11
0,1,0,0,1.394e-14
0.359,0.641,0.394,0.652840659628696,0.0483
0.007,0.993,0.007,0.0417083585418935,0.0004344
0.027,0.973,0.03,0.124153971633037,0.00163
0.071,0.929,0.992,0.256217989354148,0.00494
0,1,1,0,3.311e-10
0.645,0.355,0.711,0.650487009385091,0.329
0,1,1,0,2.775e-09
0,1,1,0,6.535e-08
0.781,0.219,0.868,0.525639378127529,0.787
0,1,1,0,2.938e-07
0.022,0.978,1,0.105723887714203,0.0012
0,1,1,0,5.977e-28
0.547,0.453,0.592,0.688722651213499,0.143
0.109,0.891,0.993,0.344419474942669,0.00359
0,1,0,0,1.804e-26
0,1,0,0,9.719e-26
0.111,0.889,0.995,0.348600984264607,0.00596
0.12,0.88,0.993,0.36692499127271,0.00565
0,1,1,0,9.012e-06
0.766,0.234,0.854,0.544064595967142,0.732
0,1,0,0,6.881e-07
0.741,0.259,0.861,0.572008347657556,0.895
0,1,1,0,5.13e-35
0,1,0,0,1.057e-17
0,1,0,0,6.111e-18
0,1,0,0,7.887e-12
0,1,1,0,9.332e-09
0.715,0.285,0.933,0.597613844579356,0.439
0,1,1,0,1.358e-20
0,1,0,0,1.082e-48
0,1,0,0,7.59e-17
0.709,0.291,0.768,0.603044639923954,0.321
0,1,0,0,2.254e-25
0.013,0.987,0.998,0.0693716084142908,0.0006915
0,1,0,0,9.149e-06
0,1,0,0,7.468e-15
0,1,1,0,2.533e-26
0,1,1,0,7.513e-41
0.727,0.273,0.792,0.586219929729774,0.399
0.176,0.824,0.986,0.465273579210018,0.0109
0,1,1,0,1.599e-10
0,1,1,0,2.771e-18
0.612,0.388,0.649,0.667845050310763,0.185
0.705,0.295,0.893,0.606568097879241,0.717
0,1,1,0,9.133e-07
0,1,0,0,8.038e-25
0,1,0,0,2.659e-09
0,1,0,0,2.065e-13
0,1,0,0,4.002e-15
0,1,0,0,3.444e-05
0,1,1,0,5.079e-07
0,1,0,0,6.65e-11
0.182,0.818,0.994,0.474412670593113,0.00944
0,1,1,0,1.955e-15
0,1,1,0,4.542e-06
0.097,0.903,0.988,0.318440848331771,0.00529
0.006,0.994,1,0.0366779387501341,2.054e-05
0,1,1,0,3.224e-05
0,1,0,0,1.456e-34
0,1,1,0,1.863e-23
0,1,0,0,4.319e-07
0,1,0,0,2.339e-16
0,1,0,0,3.125e-20
0.108,0.892,0.11,0.342313316191353,0.0109
0.003,0.997,1,0.0204229244641799,2.398e-05
0.692,0.308,0.743,0.617491064538849,0.285
0,1,1,0,5.966e-31
0,1,0,0,5.546e-14
0.556,0.444,0.952,0.686862001658906,0.151
0.397,0.603,0.956,0.67177650592283,0.0745
0.629,0.371,0.91,0.659485753290202,0.384
0,1,0,0,1.499e-19
0,1,1,0,3.708e-11
0,1,0,0,2.42e-09
0.015,0.985,1,0.0778825094110964,0.0001801
0,1,0,0,4.227e-12
0.771,0.229,0.878,0.538065204150889,0.962
0,1,0,0,3.789e-07
0.658,0.342,0.891,0.642353162094667,0.441
0.592,0.408,0.902,0.676122343973908,0.361
0,1,1,0,4.247e-10
0.745,0.255,0.915,0.567761832273967,0.706
0,1,1,0,1.307e-44
0.588,0.412,0.671,0.67757821368574,0.3
0,1,1,0,6.044e-44
0,1,0,0,1.959e-09
0.639,0.361,0.832,0.653991389676722,0.852
0,1,0,0,5.37e-25
0.741,0.259,0.866,0.572008347657556,0.962
0.069,0.931,0.076,0.251044543019977,0.00425
0,1,0,0,7.597e-16
0.006,0.994,0.006,0.0366779387501341,0.0002813
0.613,0.387,0.66,0.667387217050714,0.177
0.636,0.364,0.862,0.655684984878046,0.625
0.442,0.558,0.477,0.686404010095023,0.0792
0.007,0.993,0.007,0.0417083585418935,0.0002817
0.101,0.899,0.112,0.327274658791183,0.00331
0,1,1,0,2.372e-05
0.687,0.313,0.788,0.621480021586315,0.673
0.098,0.902,0.105,0.320666168975934,0.00513
0,1,0,0,6.272e-05
0.086,0.914,0.995,0.293184269195242,0.00472
0,1,1,0,1.551e-25
0.652,0.348,0.703,0.646199761644442,0.28
0.776,0.224,0.871,0.53192420770443,0.779
0,1,0,0,1.663e-17
0,1,0,0,9.074e-31
0,1,0,0,7.697e-06
0,1,1,0,1.288e-06
0,1,0,0,2.4e-21
0,1,0,0,6.757e-08
0.421,0.579,0.447,0.68061272148709,0.06
0.285,0.715,0.968,0.597613844579356,0.0343
0,1,1,0,6.929e-10
0.671,0.329,0.789,0.633468188072331,0.539
0.663,0.337,0.903,0.639025512960164,0.504
0.726,0.274,0.821,0.587196867069004,0.611
0.53,0.47,0.572,0.691346099001739,0.114
0.575,0.425,0.635,0.681854608730783,0.19
0,1,0,0,1.416e-06
0.319,0.681,0.983,0.626113386705954,0.0292
0,1,0,0,9.062e-22
0.616,0.384,0.687,0.665988409251802,0.273
0.271,0.729,0.977,0.584250927889426,0.0322
0,1,0,0,8.013e-12
0.67,0.33,0.873,0.634178635712206,0.566
0,1,1,0,4.681e-10
0,1,0,0,7.804e-09
0,1,0,0,2.249e-21
0,1,0,0,2.472e-08
0,1,1,0,9.646e-07
0.063,0.937,0.999,0.235143555762069,0.00226
0,1,1,0,4.553e-09
0,1,0,0,5.468e-09
0,1,0,0,4.509e-08
0.728,0.272,0.922,0.585237953862438,0.486
0,1,0,0,2.567e-15
0.603,0.397,0.65,0.67177650592283,0.186
0.028,0.972,0.999,0.127719710761685,0.0008734
0,1,0,0,1.387e-12
0.304,0.696,0.974,0.61421549416189,0.0322
0.141,0.859,0.146,0.40677463045434,0.00986
0,1,0,0,1.026e-07
0.002,0.998,0.002,0.0144272148621761,0.0001979
0,1,1,0,1.193e-39
0,1,1,0,3.674e-16
0,1,0,0,1.385e-11
0.715,0.285,0.938,0.597613844579356,0.382
0.019,0.981,1,0.0941213555443535,0.000544
0,1,0,0,4.623e-38
0,1,1,0,1.626e-13
0.01,0.99,0.014,0.0560015343548473,0.0007745
0,1,0,0,1.776e-23
0,1,0,0,2.12e-07
0.351,0.649,0.98,0.648063481404664,0.0394
0,1,1,0,8.996e-07
0,1,0,0,8.053e-23
0.214,0.786,0.23,0.519208372918104,0.0179
0.408,0.592,0.433,0.676122343973908,0.0514
0,1,1,0,2.589e-76
0,1,0,0,3.598e-10
0,1,1,0,6.886e-09
0.325,0.675,0.982,0.630581028386015,0.0313
0,1,1,0,1.439e-15
0,1,0,0,2.346e-13
0.687,0.313,0.827,0.621480021586315,0.938
0,1,0,0,4.707e-07
0.003,0.997,1,0.0204229244641799,0.0001499
0.704,0.296,0.765,0.607436917766953,0.358
0.555,0.445,0.602,0.687084920288889,0.145
0.128,0.872,0.992,0.382567027551796,0.00829
0,1,0,0,1.942e-09
0,1,0,0,3.083e-07
0,1,1,0,3.801e-29
0,1,0,0,2.828e-06
0.075,0.925,0.996,0.26638446326792,0.00342
0,1,1,0,3.512e-25
0,1,1,0,7.029e-30
0,1,1,0,1.196e-11
0,1,1,0,2.054e-20
0.147,0.853,0.985,0.417469794715261,0.00877
0,1,0,0,2.11e-10
0.07,0.93,0.999,0.253638946921691,0.00376
0,1,0,0,1.382e-14
0.718,0.282,0.795,0.594832334400964,0.429
0.07,0.93,0.073,0.253638946921691,0.00431
0,1,0,0,1.854e-11
0,1,1,0,1.375e-05
0.036,0.964,0.04,0.155016589193151,0.00151
0.789,0.211,0.933,0.515278585671292,0.639
0.164,0.836,0.987,0.446243664280158,0.00741
0,1,1,0,5.367e-31
0,1,1,0,2.239e-09
0.149,0.851,0.162,0.420970557980322,0.0117
0,1,1,0,5.629e-17
0.041,0.959,0.045,0.171109283434043,0.00221
0,1,1,0,1.662e-06
0,1,0,0,2.531e-31
0,1,1,0,5.687e-18
0,1,0,0,6.754e-10
0,1,0,0,1.538e-06
0.747,0.253,0.837,0.56560704503986,0.706
0,1,1,0,6.846e-12
0.004,0.996,0.004,0.0260778329833977,7.369e-05
0,1,1,0,0.0001153
0.64,0.36,0.905,0.653418194793702,0.364
0.729,0.271,0.899,0.584250927889426,0.693
0.455,0.545,0.483,0.689091695267987,0.0657
0,1,1,0,2.054e-15
0.569,0.431,0.633,0.683594725129539,0.198
0,1,1,0,1.384e-15
0.041,0.959,0.997,0.171109283434043,0.00143
0,1,0,0,9.894e-40
0.044,0.956,0.047,0.180454370212594,0.0023
0,1,0,0,9.136e-05
0.064,0.936,0.073,0.237834675664092,0.00514
0,1,1,0,3.733e-12
0,1,1,0,5.639e-15
0,1,0,0,1.421e-19
