p0,p1,post_mu2_gt_m1,H,pvalue1
0,1,0,0,5.84e-20
0.304,0.696,0.319,0.61421549416189,0.034
0,1,1,0,2.367e-15
0,1,0,0,3.447e-25
0,1,1,0,3.244e-32
0,1,1,0,1.337e-25
0.043,0.957,0.999,0.177363828386837,0.00184
0,1,1,0,1.806e-41
0,1,0,0,2.665e-06
0.714,0.286,0.793,0.598531185977196,0.582
0,1,0,0,2.433e-14
0.663,0.337,0.884,0.639025512960164,0.534
0.69,0.31,0.936,0.619100664425587,0.374
0,1,1,0,7.2e-22
0,1,1,0,6.436e-14
0.432,0.568,0.96,0.683870459027067,0.0894
0,1,0,0,1.277e-29
0.366,0.634,0.969,0.656792441844036,0.028
0,1,1,0,1.973e-12
0.589,0.411,0.637,0.6772204456534,0.161
0,1,1,0,5.991e-09
0,1,0,0,1.123e-13
0.528,0.472,0.957,0.691578359988849,0.133
0.662,0.338,0.903,0.639699968278577,0.432
0,1,1,0,9.774e-06
0,1,1,0,8.727e-21
0.555,0.445,0.647,0.687084920288889,0.244
0,1,1,0,3.778e-14
0.29,0.71,0.313,0.60215168259268,0.0263
0,1,0,0,1.026e-17
0.707,0.293,0.773,0.604816023751259,0.363
0,1,0,0,1.235e-07
0.543,0.457,0.945,0.689444608619359,0.167
0,1,0,0,9.567e-21
0.188,0.812,0.98,0.483309913758824,0.0147
0,1,0,0,3.232e-37
0.146,0.854,0.155,0.415707472717281,0.00913
0,1,0,0,3.073e-08
0,1,0,0,2.661e-15
0,1,0,0,9.933e-07
0,1,1,0,7.252e-13
0.471,0.529,0.948,0.691464236247364,0.1
0,1,1,0,2.757e-10
0,1,0,0,1.942e-10
0.675,0.325,0.795,0.630581028386015,0.684
0.574,0.426,0.96,0.682154843983954,0.138
0,1,0,0,1.823e-69
0,1,0,0,1.645e-18
0,1,0,0,1.183e-27
0,1,0,0,1.652e-08
0.566,0.434,0.614,0.68440970291956,0.164
0.703,0.297,0.887,0.608300938814838,0.751
0,1,0,0,9.809e-18
0.073,0.927,0.998,0.261330784498757,0.00317
0,1,1,0,8.797e-15
0.648,0.352,0.913,0.648675933935333,0.482
0.227,0.773,0.239,0.535625920455781,0.0139
0,1,1,0,5.278e-11
0.15,0.85,0.157,0.422709087805991,0.00991
0,1,1,0,4.428e-05
0.667,0.333,0.722,0.636282869192928,0.29
0.005,0.995,0.005,0.0314790659471667,6.666e-05
0,1,1,0,8.389e-30
0,1,0,0,3.129e-46
0,1,0,0,3.46e-08
0,1,0,0,3.009e-88
0.735,0.265,0.819,0.578222058174353,0.584
0.008,0.992,0.009,0.0465944242221046,0.0001366
0.129,0.871,0.138,0.384481316980951,0.00736
0.689,0.311,0.906,0.619898447565985,0.433
0.514,0.486,0.952,0.692755129322542,0.102
0.538,0.462,0.924,0.690256393935334,0.19
0.692,0.308,0.799,0.617491064538849,0.498
0,1,1,0,8.321e-14
0,1,1,0,2.371e-12
0.677,0.323,0.927,0.629110126819609,0.414
0,1,0,0,5.788e-08
0,1,1,0,6.279e-07
0.7,0.3,0.811,0.610864302054894,0.699
0,1,1,0,3.868e-05
0,1,1,0,2.678e-12
0.741,0.259,0.887,0.572008347657556,0.697
0,1,1,0,2.24e-20
0,1,1,0,2.318e-19
0.37,0.63,0.401,0.658955680683063,0.0538
0,1,0,0,3.262e-08
0,1,1,0,3.401e-10
0,1,1,0,2.474e-34
0,1,0,0,5.895e-07
0.022,0.978,0.999,0.105723887714203,0.0006591
0.694,0.306,0.843,0.615862697192986,0.925
0,1,0,0,2.304e-06
0,1,1,0,3.234e-37
0,1,1,0,1.86e-14
0,1,1,0,4.027e-08
0,1,1,0,8.207e-10
0,1,1,0,7.462e-22
0,1,1,0,3.386e-31
0,1,1,0,8.314e-07
0,1,1,0,3.752e-06
0.704,0.296,0.844,0.607436917766953,0.929
0,1,0,0,1.782e-06
0,1,1,0,1.052e-06
0,1,1,0,1.996e-11
0,1,0,0,3.173e-17
0,1,1,0,1.612e-11
0.492,0.508,0.536,0.693019175098053,0.0985
0.006,0.994,0.999,0.0366779387501341,0.0001651
0.634,0.366,0.932,0.656792441844036,0.265
0,1,1,0,1.816e-26
0,1,0,0,4.637e-31
0,1,0,0,3.423e-07
0,1,1,0,1.659e-23
0.651,0.349,0.723,0.646825401055711,0.32
0,1,1,0,1.284e-06
0.689,0.311,0.93,0.619898447565985,0.418
0.319,0.681,0.343,0.626113386705954,0.0286
0.609,0.391,0.654,0.669193297992532,0.18
0.15,0.85,0.995,0.422709087805991,0.0114
0,1,0,0,1.03e-08
0,1,1,0,2.489e-13
0,1,0,0,2.014e-21
0,1,1,0,6.937e-24
0.676,0.324,0.849,0.629847860460379,0.831
0.294,0.706,0.977,0.605694469714336,0.0264
0,1,1,0,6.435e-07
0.73,0.27,0.869,0.583258840128597,0.95
0,1,0,0,6.949e-12
0.047,0.953,0.996,0.18958533851931,0.00292
0.063,0.937,0.064,0.235143555762069,0.00227
0.603,0.397,0.918,0.67177650592283,0.313
0,1,0,0,3.573e-07
0.214,0.786,0.228,0.519208372918104,0.0192
0,1,0,0,4.109e-08
0,1,0,0,1.161e-53
0,1,0,0,9.457e-07
0.681,0.319,0.735,0.626113386705954,0.274
0.575,0.425,0.633,0.681854608730783,0.2
0,1,1,0,2.552e-23
0.051,0.949,0.052,0.201449221832375,0.00136
0,1,0,0,8.688e-48
0.703,0.297,0.787,0.608300938814838,0.525
0,1,1,0,1.262e-05
0.398,0.602,0.963,0.672192398803021,0.0822
0.666,0.334,0.867,0.63697526674802,0.825
0,1,0,0,1.056e-09
0,1,1,0,6.547e-08
0,1,0,0,3.336e-47
0,1,1,0,4.519e-56
0.07,0.93,0.997,0.253638946921691,0.0025
0.008,0.992,0.008,0.0465944242221046,0.0004944
0.241,0.759,0.984,0.552229868967606,0.0343
0,1,1,0,2.588e-42
0.254,0.746,0.28,0.566687077407423,0.0204
0,1,0,0,3.738e-08
